,30.1,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,39.1
-1.35,258,258,258,258,258,319,319,319,319,319
-2.35,258,258,258,258,258,319,319,319,319,319
-3.35,258,258,258,258,258,319,319,319,319,319
-4.35,288,288,288,288,288,319,319,319,319,319
-5.35,288,288,288,288,288,288,288,288,288,288
-6.35,288,288,288,288,288,288,288,288,288,288
-7.35,349,349,349,349,349,288,288,288,288,288
-8.35,349,349,349,349,349,349,349,349,349,349
-9.35,349,349,349,349,349,349,349,349,349,349
-10.35,349,349,349,349,349,349,349,349,349,349
-11.35,349,349,349,349,349,349,349,349,349,349
