,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35
4.5,,,,,,,,,151,,,
4,,,,151,151,151,135,135,135,151,151,
3.5,,,,151,151,151,135,135,135,151,151,
3,,,,151,151,135,135,135,135,151,99,99
2.5,,,,151,151,195,135,135,135,148,99,99
2,,,,195,195,195,135,135,148,148,99,99
1.5,,,195,195,195,195,164,174,151,148,151,
1,,195,195,195,195,195,164,164,151,151,148,
0.5,,174,195,195,195,164,164,164,164,151,151,
0,,174,174,174,164,164,195,195,195,195,195,
-0.5,,189,174,174,164,164,195,195,195,195,195,
-1,,189,189,,,,,,,,,
-1.5,,,,,,,,,,,,
