,29,30,31,32,33,34,35,36,37,38,39,40
-1,,,274,274,274,274,106,106,,,,
-2,,,274,274,274,274,106,106,106,,,
-3,,274,274,67,67,67,106,106,106,106,,
-4,,274,274,67,67,67,274,67,67,106,82,
-5,,274,274,274,67,67,106,67,67,82,82,82
-6,,,274,274,274,67,67,67,67,67,82,82
-7,,,,274,67,67,67,67,67,82,82,82
-8,,,,274,67,67,67,67,67,82,82,82
-9,,,,274,67,67,67,67,67,82,82,82
-10,,,,,67,67,67,67,67,82,82,82
-11,,,,,,,67,67,67,67,82,82
-12,,,,,,,67,67,67,67,82,82
