,33,34,35,36,37,38,39,40,41,42,43
13,,,,,88,88,169,169,169,,
12,,,88,88,88,88,169,169,169,,
11,,88,88,88,88,74,169,169,169,169,
10,,88,88,88,74,74,74,169,88,169,
9,88,88,88,88,88,74,74,169,88,,
8,,88,74,74,74,74,74,169,,,
7,,88,88,74,88,74,74,88,,,
6,,88,88,74,74,74,74,88,,,
5,,,88,74,74,74,74,88,,,
4,,,,74,74,74,74,,,,
3,,,,,,74,74,,,,
